Carrier,Departure Time,Destination,Distance,Date,Flight Number,Origin,Day of the Week,Day of the Month,Delayed 
DH,857,EWR,213,01-03-04,7299,IAD,6,3,delayed
DH,1705,EWR,213,01-03-04,7302,IAD,6,3,ontime
DH,1329,EWR,213,01-03-04,7303,IAD,6,3,delayed
DH,2126,EWR,213,01-03-04,7304,IAD,6,3,ontime
DH,625,EWR,213,01-03-04,7371,IAD,6,3,ontime
RU,1722,EWR,213,01-03-04,2497,IAD,6,3,ontime
RU,1356,EWR,199,01-03-04,2216,DCA,6,3,ontime
RU,658,EWR,213,01-03-04,2855,IAD,6,3,ontime
RU,941,EWR,199,01-03-04,2582,DCA,6,3,ontime
RU,1738,EWR,199,01-03-04,2097,DCA,6,3,ontime
RU,1556,EWR,199,01-03-04,2181,DCA,6,3,ontime
RU,1511,EWR,213,01-03-04,2156,IAD,6,3,ontime
RU,703,EWR,199,01-03-04,2761,DCA,6,3,ontime
OH,1605,JFK,184,01-04-04,5935,BWI,7,4,delayed
DH,1644,JFK,213,01-04-04,6155,DCA,7,4,ontime
DH,1249,LGA,229,01-04-04,7208,IAD,7,4,ontime
DH,1535,LGA,229,01-04-04,7211,IAD,7,4,delayed
DH,1837,LGA,229,01-04-04,7215,IAD,7,4,delayed
DH,640,LGA,229,01-04-04,7790,IAD,7,4,ontime
DH,1032,LGA,229,01-04-04,7792,IAD,7,4,ontime
DH,900,JFK,228,01-04-04,7800,IAD,7,4,ontime
DH,1243,JFK,228,01-04-04,7806,IAD,7,4,ontime
DH,1504,JFK,228,01-04-04,7808,IAD,7,4,ontime
DH,1642,JFK,228,01-04-04,7810,IAD,7,4,ontime
DH,1709,JFK,228,01-04-04,7812,IAD,7,4,ontime
DH,2120,JFK,228,01-04-04,7814,IAD,7,4,ontime
DH,1607,JFK,228,01-04-04,7816,IAD,7,4,ontime
DH,2116,LGA,229,01-04-04,7924,IAD,7,4,ontime
DL,1500,JFK,213,01-04-04,746,DCA,7,4,ontime
DL,828,LGA,214,01-04-04,1744,DCA,7,4,ontime
DL,1028,LGA,214,01-04-04,1748,DCA,7,4,ontime
DL,1230,LGA,214,01-04-04,1752,DCA,7,4,ontime
DL,1432,LGA,214,01-04-04,1756,DCA,7,4,ontime
DL,1629,LGA,214,01-04-04,1760,DCA,7,4,ontime
DL,1832,LGA,214,01-04-04,1764,DCA,7,4,ontime
DL,2030,LGA,214,01-04-04,1768,DCA,7,4,ontime
MQ,1534,JFK,213,01-04-04,4752,DCA,7,4,delayed
MQ,554,JFK,213,01-04-04,4760,DCA,7,4,ontime
MQ,745,JFK,213,01-04-04,4771,DCA,7,4,ontime
MQ,1858,JFK,213,01-04-04,4784,DCA,7,4,delayed
MQ,1257,LGA,214,01-04-04,4964,DCA,7,4,ontime
MQ,1458,LGA,214,01-04-04,4968,DCA,7,4,delayed
MQ,1659,LGA,214,01-04-04,4972,DCA,7,4,ontime
MQ,1936,LGA,214,01-04-04,4976,DCA,7,4,delayed
UA,849,LGA,229,01-04-04,846,IAD,7,4,ontime
US,858,LGA,214,01-04-04,2164,DCA,7,4,ontime
US,954,LGA,214,01-04-04,2166,DCA,7,4,ontime
US,1055,LGA,214,01-04-04,2168,DCA,7,4,ontime
US,1158,LGA,214,01-04-04,2170,DCA,7,4,ontime
US,1257,LGA,214,01-04-04,2172,DCA,7,4,ontime
US,1359,LGA,214,01-04-04,2174,DCA,7,4,ontime
US,1456,LGA,214,01-04-04,2176,DCA,7,4,ontime
US,1559,LGA,214,01-04-04,2178,DCA,7,4,ontime
US,1658,LGA,214,01-04-04,2180,DCA,7,4,ontime
US,1758,LGA,214,01-04-04,2182,DCA,7,4,ontime
US,1857,LGA,214,01-04-04,2184,DCA,7,4,ontime
US,1957,LGA,214,01-04-04,2186,DCA,7,4,ontime
US,2059,LGA,214,01-04-04,2188,DCA,7,4,ontime
RU,1615,EWR,169,01-04-04,2403,BWI,7,4,delayed
RU,1416,EWR,169,01-04-04,2703,BWI,7,4,delayed
RU,2030,EWR,169,01-04-04,2603,BWI,7,4,delayed
RU,1235,EWR,169,01-04-04,2303,BWI,7,4,delayed
CO,1255,EWR,199,01-04-04,808,DCA,7,4,ontime
CO,1833,EWR,199,01-04-04,810,DCA,7,4,delayed
DH,857,EWR,213,01-04-04,7299,IAD,7,4,ontime
DH,1917,EWR,213,01-04-04,7302,IAD,7,4,delayed
DH,1310,EWR,213,01-04-04,7303,IAD,7,4,delayed
DH,2221,EWR,213,01-04-04,7304,IAD,7,4,delayed
DH,1600,EWR,213,01-04-04,7307,IAD,7,4,delayed
RU,1952,EWR,199,01-04-04,2097,DCA,7,4,delayed
RU,927,EWR,199,01-04-04,2582,DCA,7,4,ontime
RU,858,EWR,213,01-04-04,3276,IAD,7,4,ontime
RU,2110,EWR,213,01-04-04,2385,IAD,7,4,delayed
RU,1356,EWR,199,01-04-04,2216,DCA,7,4,delayed
RU,2120,EWR,199,01-04-04,2336,DCA,7,4,delayed
RU,1557,EWR,213,01-04-04,2156,IAD,7,4,delayed
OH,1610,JFK,184,01-05-04,5935,BWI,1,5,delayed
DH,1638,JFK,213,01-05-04,6155,DCA,1,5,delayed
DH,1338,LGA,229,01-05-04,7208,IAD,1,5,delayed
DH,1606,LGA,229,01-05-04,7211,IAD,1,5,delayed
DH,1848,LGA,229,01-05-04,7215,IAD,1,5,delayed
DH,633,LGA,229,01-05-04,7790,IAD,1,5,delayed
DH,1054,LGA,229,01-05-04,7792,IAD,1,5,ontime
DH,946,JFK,228,01-05-04,7800,IAD,1,5,delayed
DH,1312,JFK,228,01-05-04,7806,IAD,1,5,delayed
DH,1700,JFK,228,01-05-04,7810,IAD,1,5,ontime
DH,1709,JFK,228,01-05-04,7812,IAD,1,5,ontime
DH,2200,JFK,228,01-05-04,7814,IAD,1,5,delayed
DH,1651,JFK,228,01-05-04,7816,IAD,1,5,delayed
DH,2125,LGA,229,01-05-04,7924,IAD,1,5,ontime
DL,1459,JFK,213,01-05-04,746,DCA,1,5,ontime
DL,630,LGA,214,01-05-04,1740,DCA,1,5,ontime
DL,734,LGA,214,01-05-04,1742,DCA,1,5,ontime
DL,830,LGA,214,01-05-04,1744,DCA,1,5,ontime
DL,932,LGA,214,01-05-04,1746,DCA,1,5,ontime
DL,1031,LGA,214,01-05-04,1748,DCA,1,5,ontime
DL,1128,LGA,214,01-05-04,1750,DCA,1,5,ontime
DL,1230,LGA,214,01-05-04,1752,DCA,1,5,ontime
DL,1329,LGA,214,01-05-04,1754,DCA,1,5,ontime
DL,1427,LGA,214,01-05-04,1756,DCA,1,5,ontime
DL,1635,LGA,214,01-05-04,1760,DCA,1,5,ontime
DL,1730,LGA,214,01-05-04,1762,DCA,1,5,ontime
DL,1829,LGA,214,01-05-04,1764,DCA,1,5,ontime
DL,1955,LGA,214,01-05-04,1766,DCA,1,5,delayed
DL,2028,LGA,214,01-05-04,1768,DCA,1,5,ontime
MQ,1538,JFK,213,01-05-04,4752,DCA,1,5,ontime
MQ,557,JFK,213,01-05-04,4760,DCA,1,5,ontime
MQ,656,LGA,214,01-05-04,4952,DCA,1,5,ontime
MQ,758,LGA,214,01-05-04,4954,DCA,1,5,ontime
MQ,859,LGA,214,01-05-04,4956,DCA,1,5,ontime
MQ,1103,LGA,214,01-05-04,4960,DCA,1,5,ontime
MQ,1250,LGA,214,01-05-04,4964,DCA,1,5,ontime
MQ,1627,LGA,214,01-05-04,4970,DCA,1,5,delayed
MQ,1702,LGA,214,01-05-04,4972,DCA,1,5,ontime
MQ,1949,LGA,214,01-05-04,4976,DCA,1,5,delayed
UA,848,LGA,229,01-05-04,846,IAD,1,5,ontime
US,627,LGA,214,01-05-04,1479,DCA,1,5,delayed
US,657,LGA,214,01-05-04,2160,DCA,1,5,ontime
US,757,LGA,214,01-05-04,2162,DCA,1,5,ontime
US,900,LGA,214,01-05-04,2164,DCA,1,5,ontime
US,958,LGA,214,01-05-04,2166,DCA,1,5,ontime
US,1057,LGA,214,01-05-04,2168,DCA,1,5,ontime
US,1155,LGA,214,01-05-04,2170,DCA,1,5,ontime
US,1257,LGA,214,01-05-04,2172,DCA,1,5,ontime
US,1358,LGA,214,01-05-04,2174,DCA,1,5,ontime
US,1500,LGA,214,01-05-04,2176,DCA,1,5,ontime
US,1601,LGA,214,01-05-04,2178,DCA,1,5,ontime
US,1657,LGA,214,01-05-04,2180,DCA,1,5,ontime
US,1757,LGA,214,01-05-04,2182,DCA,1,5,ontime
US,1857,LGA,214,01-05-04,2184,DCA,1,5,ontime
US,1959,LGA,214,01-05-04,2186,DCA,1,5,ontime
US,2100,LGA,214,01-05-04,2188,DCA,1,5,ontime
RU,744,EWR,169,01-05-04,2703,BWI,1,5,delayed
RU,1527,EWR,169,01-05-04,2403,BWI,1,5,delayed
RU,1221,EWR,169,01-05-04,2303,BWI,1,5,delayed
CO,1324,EWR,199,01-05-04,808,DCA,1,5,delayed
CO,757,EWR,199,01-05-04,806,DCA,1,5,ontime
CO,1846,EWR,199,01-05-04,814,DCA,1,5,delayed
DH,844,EWR,213,01-05-04,7299,IAD,1,5,ontime
DH,1920,EWR,213,01-05-04,7302,IAD,1,5,delayed
DH,1357,EWR,213,01-05-04,7303,IAD,1,5,delayed
DH,2312,EWR,213,01-05-04,7304,IAD,1,5,delayed
DH,1536,EWR,213,01-05-04,7307,IAD,1,5,delayed
DH,624,EWR,213,01-05-04,7371,IAD,1,5,ontime
RU,700,EWR,199,01-05-04,2761,DCA,1,5,ontime
RU,1056,EWR,199,01-05-04,2582,DCA,1,5,delayed
RU,1321,EWR,213,01-05-04,2692,IAD,1,5,delayed
RU,2105,EWR,199,01-05-04,2879,DCA,1,5,ontime
RU,655,EWR,213,01-05-04,2855,IAD,1,5,ontime
RU,1454,EWR,199,01-05-04,2216,DCA,1,5,delayed
RU,2104,EWR,199,01-05-04,2336,DCA,1,5,delayed
RU,1602,EWR,213,01-05-04,2156,IAD,1,5,delayed
RU,855,EWR,213,01-05-04,3276,IAD,1,5,ontime
RU,1617,EWR,199,01-05-04,2261,DCA,1,5,delayed
OH,1455,JFK,184,01-06-04,5935,BWI,2,6,ontime
DH,1240,LGA,229,01-06-04,7208,IAD,2,6,ontime
DH,1451,LGA,229,01-06-04,7211,IAD,2,6,ontime
DH,1752,LGA,229,01-06-04,7215,IAD,2,6,ontime
DH,635,LGA,229,01-06-04,7790,IAD,2,6,ontime
DH,1034,LGA,229,01-06-04,7792,IAD,2,6,ontime
DH,855,JFK,228,01-06-04,7800,IAD,2,6,ontime
DH,1237,JFK,228,01-06-04,7806,IAD,2,6,ontime
DH,1453,JFK,228,01-06-04,7808,IAD,2,6,ontime
DH,1641,JFK,228,01-06-04,7810,IAD,2,6,ontime
DH,1756,JFK,228,01-06-04,7812,IAD,2,6,delayed
DH,2153,JFK,228,01-06-04,7814,IAD,2,6,delayed
DH,1607,JFK,228,01-06-04,7816,IAD,2,6,ontime
DH,2118,LGA,229,01-06-04,7924,IAD,2,6,ontime
DL,1457,JFK,213,01-06-04,746,DCA,2,6,ontime
DL,629,LGA,214,01-06-04,1740,DCA,2,6,ontime
DL,728,LGA,214,01-06-04,1742,DCA,2,6,ontime
DL,829,LGA,214,01-06-04,1744,DCA,2,6,ontime
DL,930,LGA,214,01-06-04,1746,DCA,2,6,ontime
DL,1030,LGA,214,01-06-04,1748,DCA,2,6,ontime
DL,1130,LGA,214,01-06-04,1750,DCA,2,6,ontime
DL,1230,LGA,214,01-06-04,1752,DCA,2,6,ontime
DL,1327,LGA,214,01-06-04,1754,DCA,2,6,ontime
DL,1428,LGA,214,01-06-04,1756,DCA,2,6,ontime
DL,1529,LGA,214,01-06-04,1758,DCA,2,6,ontime
DL,1629,LGA,214,01-06-04,1760,DCA,2,6,ontime
DL,1728,LGA,214,01-06-04,1762,DCA,2,6,ontime
DL,1830,LGA,214,01-06-04,1764,DCA,2,6,ontime
DL,1929,LGA,214,01-06-04,1766,DCA,2,6,ontime
DL,2031,LGA,214,01-06-04,1768,DCA,2,6,ontime
MQ,1548,JFK,213,01-06-04,4752,DCA,2,6,ontime
MQ,558,JFK,213,01-06-04,4760,DCA,2,6,ontime
MQ,1843,JFK,213,01-06-04,4784,DCA,2,6,ontime
MQ,655,LGA,214,01-06-04,4952,DCA,2,6,ontime
MQ,817,LGA,214,01-06-04,4954,DCA,2,6,ontime
MQ,852,LGA,214,01-06-04,4956,DCA,2,6,ontime
MQ,1100,LGA,214,01-06-04,4960,DCA,2,6,ontime
MQ,1313,LGA,214,01-06-04,4964,DCA,2,6,ontime
MQ,1355,LGA,214,01-06-04,4966,DCA,2,6,ontime
MQ,1535,LGA,214,01-06-04,4968,DCA,2,6,delayed
MQ,1555,LGA,214,01-06-04,4970,DCA,2,6,ontime
MQ,1654,LGA,214,01-06-04,4972,DCA,2,6,ontime
MQ,1904,LGA,214,01-06-04,4976,DCA,2,6,ontime
UA,850,LGA,229,01-06-04,846,IAD,2,6,ontime
US,629,LGA,214,01-06-04,1479,DCA,2,6,ontime
US,657,LGA,214,01-06-04,2160,DCA,2,6,ontime
US,758,LGA,214,01-06-04,2162,DCA,2,6,ontime
US,858,LGA,214,01-06-04,2164,DCA,2,6,ontime
US,1000,LGA,214,01-06-04,2166,DCA,2,6,ontime
US,1056,LGA,214,01-06-04,2168,DCA,2,6,ontime
US,1158,LGA,214,01-06-04,2170,DCA,2,6,ontime
US,1259,LGA,214,01-06-04,2172,DCA,2,6,ontime
US,1357,LGA,214,01-06-04,2174,DCA,2,6,ontime
US,1458,LGA,214,01-06-04,2176,DCA,2,6,ontime
US,1557,LGA,214,01-06-04,2178,DCA,2,6,ontime
US,1657,LGA,214,01-06-04,2180,DCA,2,6,ontime
US,1758,LGA,214,01-06-04,2182,DCA,2,6,ontime
US,1855,LGA,214,01-06-04,2184,DCA,2,6,ontime
US,1958,LGA,214,01-06-04,2186,DCA,2,6,ontime
US,2104,LGA,214,01-06-04,2188,DCA,2,6,ontime
RU,1451,EWR,169,01-06-04,2403,BWI,2,6,ontime
RU,1729,EWR,169,01-06-04,3372,BWI,2,6,delayed
RU,658,EWR,169,01-06-04,2703,BWI,2,6,ontime
RU,1037,EWR,169,01-06-04,2303,BWI,2,6,ontime
CO,1740,EWR,199,01-06-04,814,DCA,2,6,delayed
CO,1256,EWR,199,01-06-04,808,DCA,2,6,ontime
CO,1856,EWR,199,01-06-04,816,DCA,2,6,delayed
CO,727,EWR,199,01-06-04,806,DCA,2,6,ontime
DH,847,EWR,213,01-06-04,7299,IAD,2,6,ontime
DH,1705,EWR,213,01-06-04,7302,IAD,2,6,ontime
DH,1236,EWR,213,01-06-04,7303,IAD,2,6,ontime
DH,2118,EWR,213,01-06-04,7304,IAD,2,6,ontime
DH,1435,EWR,213,01-06-04,7307,IAD,2,6,ontime
DH,622,EWR,213,01-06-04,7371,IAD,2,6,ontime
RU,2222,EWR,199,01-06-04,2879,DCA,2,6,delayed
RU,859,EWR,199,01-06-04,2582,DCA,2,6,ontime
RU,1901,EWR,213,01-06-04,2385,IAD,2,6,delayed
RU,1457,EWR,213,01-06-04,2156,IAD,2,6,ontime
RU,656,EWR,213,01-06-04,2855,IAD,2,6,ontime
RU,1644,EWR,199,01-06-04,2261,DCA,2,6,delayed
RU,1253,EWR,213,01-06-04,2367,IAD,2,6,ontime
RU,1356,EWR,199,01-06-04,2216,DCA,2,6,ontime
RU,1656,EWR,213,01-06-04,2497,IAD,2,6,ontime
RU,1627,EWR,199,01-06-04,2181,DCA,2,6,ontime
RU,644,EWR,199,01-06-04,2761,DCA,2,6,ontime
OH,1455,JFK,184,01-07-04,5935,BWI,3,7,ontime
DH,1639,JFK,213,01-07-04,6155,DCA,3,7,ontime
DH,1306,LGA,229,01-07-04,7208,IAD,3,7,ontime
DH,1445,LGA,229,01-07-04,7211,IAD,3,7,ontime
DH,1813,LGA,229,01-07-04,7215,IAD,3,7,delayed
DH,640,LGA,229,01-07-04,7790,IAD,3,7,ontime
DH,1038,LGA,229,01-07-04,7792,IAD,3,7,ontime
DH,831,JFK,228,01-07-04,7800,IAD,3,7,ontime
DH,1240,JFK,228,01-07-04,7806,IAD,3,7,ontime
DH,1521,JFK,228,01-07-04,7808,IAD,3,7,ontime
DH,1638,JFK,228,01-07-04,7810,IAD,3,7,ontime
DH,1922,JFK,228,01-07-04,7812,IAD,3,7,delayed
DH,2120,JFK,228,01-07-04,7814,IAD,3,7,ontime
DH,1606,JFK,228,01-07-04,7816,IAD,3,7,ontime
DL,1501,JFK,213,01-07-04,746,DCA,3,7,ontime
DL,631,LGA,214,01-07-04,1740,DCA,3,7,ontime
DL,831,LGA,214,01-07-04,1744,DCA,3,7,ontime
DL,932,LGA,214,01-07-04,1746,DCA,3,7,ontime
DL,1030,LGA,214,01-07-04,1748,DCA,3,7,ontime
DL,1131,LGA,214,01-07-04,1750,DCA,3,7,ontime
DL,1231,LGA,214,01-07-04,1752,DCA,3,7,ontime
DL,1329,LGA,214,01-07-04,1754,DCA,3,7,ontime
DL,1430,LGA,214,01-07-04,1756,DCA,3,7,ontime
DL,1528,LGA,214,01-07-04,1758,DCA,3,7,ontime
DL,1629,LGA,214,01-07-04,1760,DCA,3,7,ontime
DL,1728,LGA,214,01-07-04,1762,DCA,3,7,ontime
DL,1828,LGA,214,01-07-04,1764,DCA,3,7,ontime
DL,1927,LGA,214,01-07-04,1766,DCA,3,7,ontime
DL,2030,LGA,214,01-07-04,1768,DCA,3,7,ontime
MQ,1530,JFK,213,01-07-04,4752,DCA,3,7,ontime
MQ,555,JFK,213,01-07-04,4760,DCA,3,7,ontime
MQ,1918,JFK,213,01-07-04,4784,DCA,3,7,delayed
MQ,655,LGA,214,01-07-04,4952,DCA,3,7,ontime
MQ,746,LGA,214,01-07-04,4954,DCA,3,7,ontime
MQ,854,LGA,214,01-07-04,4956,DCA,3,7,ontime
MQ,1056,LGA,214,01-07-04,4960,DCA,3,7,ontime
